movieId,imdbId,tmdbId
356,109830,13
318,111161,278
296,110912,680
593,102926,274
2571,133093,603
260,76759,11
480,107290,329
110,112573,197
589,103064,280
527,108052,424
2925,65571,8416
1,114709,862
1196,80684,1891
50,114814,629
2858,169547,14
47,114369,807
780,116629,602
150,112384,568
1198,82971,85
4993,120737,120
1210,86190,1892
858,68646,238
592,96895,268
457,106977,5503
2028,120815,857
5952,167261,121
7153,167260,122
588,103639,812
608,116282,275
2762,167404,745
380,111503,36955
32,114746,63
364,110357,8587
1270,88763,105
377,111257,1637
3678,48347,541
4306,126029,808
1580,119654,607
590,99348,581
648,117060,954
